XCoord,YCoord,FID,ADDRESS,HERITAGE_D,BUILDING_N
-82.94627441,42.33138904,611,856 Eastlawn Ave,Heritage Register: Listed,House
-82.94641923,42.33160814,612,848 Eastlawn Ave,Heritage Register: Listed,House
-82.99495607,42.31300624,613,1457 Drouillard Rd,Heritage Register: Listed,Ukrainian Labour Federation Temple
-82.99648902,42.31536836,614,1321 Drouillard Rd,Heritage Register: Listed,House
-82.99901561,42.32022584,615,1094 Drouillard Rd,Heritage Register: Listed,St. John the Divine Russian Orthodox Church
-83.03387177,42.30321322,616,1265 Dougall Ave,Heritage Register: Listed,House
-83.03990801,42.31375239,617,548 Dougall Ave,Heritage Register: Listed,House
-83.04001479,42.31390336,618,532 Dougall Ave,Heritage Register: Listed,House
-83.04006095,42.31397892,619,526 Dougall Ave,Heritage Register: Listed,House
-83.01138539,42.32140382,620,765 Devonshire Rd,Heritage Register: Listed,Archie L. Colby House
-83.00590709,42.31404938,621,1234 Devonshire Rd,Heritage Register: Listed,Mgt. Benfield House
-83.00663522,42.31409133,622,1223 Devonshire Rd,Heritage Register: Listed,Ernest Zeron House
-83.00656437,42.31507851,623,1190 Devonshire Rd,Heritage Register: Listed,Clement King House
-83.00666309,42.31523678,624,1182 Devonshire Rd,Heritage Register: Listed,John Strain House
-83.00674638,42.31536985,625,1174 Devonshire Rd,Heritage Register: Listed,Earnest Carr House
-83.00745484,42.31525214,626,1165 Devonshire Rd,Heritage Register: Listed,Cooper Court Fence; Later House
-83.00764430,42.31561021,627,1141 Devonshire Rd,Heritage Register: Listed,G.G. Benfield House
-83.00865622,42.31830622,628,982 Devonshire Rd,Heritage Register: Listed,Charles S. King House
-83.01114813,42.32085518,629,811 Devonshire Rd,Heritage Register: Designated,Ambery-Isaacs House - "Foxley"
-83.01064283,42.32145906,630,794 Devonshire Rd,Heritage Register: Designated,Porter-Coate House
-83.01129173,42.32125032,631,793 Devonshire Rd,Heritage Register: Designated,Bell-Coulter House
-83.01073387,42.32159229,632,766 Devonshire Rd,Heritage Register: Listed,Neils C. Ortved House
-83.01084545,42.32176668,633,748 Devonshire Rd,Heritage Register: Listed,G.E. White House
-83.01097545,42.32196214,634,712 Devonshire Rd,Heritage Register: Designated,McDougall-Stodgell House
-83.01163097,42.32180085,635,709 Devonshire Rd,Heritage Register: Designated,George M. Duck House
-83.01119089,42.32229520,636,692 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01124964,42.32235906,637,684 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01128758,42.32243567,638,674 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01133378,42.32250807,639,666 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01146334,42.32271523,640,642 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01150380,42.32278298,641,634 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01154845,42.32285293,642,626 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01159088,42.32291559,643,618 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01187581,42.32339157,644,580 Devonshire Rd,Heritage Register: Listed,Semi-Detached House (both sides)
-83.01262155,42.32337333,645,547 Devonshire Rd,Heritage Register: Listed,John Bott House
-83.01210151,42.32375763,646,518 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01216522,42.32385321,647,514 Devonshire Rd,Heritage Register: Listed,Semi-Detached House
-83.01274980,42.32354960,648,511-17 Devonshire Rd,Heritage Register: Listed,Thomas Reid House
-83.01320969,42.32427929,649,415 Devonshire Rd,Heritage Register: Listed,Canadian Bank of Commerce
-83.01429311,42.32525642,650,325 Devonshire Rd,Heritage Register: Listed,Walker Power Bldg.
-83.05636585,42.31155500,651,337 Curry Ave,Heritage Register: Listed,House
-83.04958635,42.31523708,652,274 Crawford Ave,Heritage Register: Listed,Frank Cleary House
-83.00589448,42.24224972,653,925 Cousineau Rd,Heritage Register: Designated,Holy Redeemer College
-83.04066138,42.31214822,654,641 Church St,Heritage Register: Listed,House
-83.01128158,42.31747486,655,973 Chilver Rd,Heritage Register: Listed,Geo. Oldershaw House
-83.01202495,42.31863767,656,907 Chilver Rd,Heritage Register: Listed,J. Wesley Petch House
-83.01369470,42.32124083,657,705 Chilver Rd,Heritage Register: Listed,Saml. Berman House
-83.01375176,42.32132919,658,691 Chilver Rd,Heritage Register: Listed,Wm. Wickett House
-83.01488468,42.32308520,659,491 Chilver Rd,Heritage Register: Listed,Victor Williamson House
-83.01465131,42.32366401,660,400 Chilver Rd,Heritage Register: Listed,Exchange Hotel / Victoria Tavern
-83.01562846,42.32433500,661,341-43 Chilver Rd,Heritage Register: Listed,R. Green House
-83.04016708,42.31830092,662,52 Chatham St W,Heritage Register: Listed,Equity Chambers
-83.03117276,42.32057649,663,568 Chatham St E,Heritage Register: Listed,Eaton-Clark Co. Chemicals, Dyes
-83.08255582,42.28793692,664,395 Chappell Ave,Heritage Register: Listed,House
-82.98908557,42.31809558,665,1321 Central Ave,Heritage Register: Listed,House
-83.02744584,42.31511230,666,595 Cataraqui St,Heritage Register: Designated,Charles R. Cole House
-83.02757796,42.31508420,667,581 Cataraqui St / 800 Howard Ave,Heritage Register: Listed,Coronada Apartments
-83.04470040,42.31230846,668,542 Caron Ave,Heritage Register: Listed,Charles Hawkins House
-83.04674883,42.31430699,669,393 Caron Ave,Heritage Register: Listed,J.A. McKay House
-83.05286498,42.31135016,670,394-96 Cameron Ave,Heritage Register: Listed,Duplex
-83.06738697,42.31052724,671,165 California Ave,Heritage Register: Listed,David M. Eagle House - Mayor of Sandwich
-83.04355789,42.31345447,672,495-97 Bruce Ave,Heritage Register: Listed,Charles R. Horne House
-83.04430972,42.31460810,673,415 Bruce Ave,Heritage Register: Listed,John Turk House
-83.04599133,42.31719492,674,173 Bruce Ave,Heritage Register: Listed,Col. Joseph Hall Beattie House
-83.07466451,42.29927420,675,462 Brock St,Heritage Register: Listed,House
-83.01383848,42.30867326,676,1125 Ottawa St / Benjamin Ave,Heritage Register: Designated,Sacred Heart Ch.now St.Mary/Moses Coptic Orthodox
-83.01647100,42.32311566,677,1617-37 Assumption St / 416 Lincoln Rd,Heritage Register: Listed,Holland Block Apartments
-83.01708320,42.32294152,678,1551-91 Assumption St,Heritage Register: Listed,Holland Manor Apartments
-83.06289895,42.30719099,679,436 Askin Ave,Heritage Register: Listed,House
-83.06297536,42.30731633,680,424 Askin Ave,Heritage Register: Listed,House
-83.06403641,42.30725225,681,409 Askin Ave,Heritage Register: Listed,House
-83.06418275,42.30755098,682,395 Askin Ave,Heritage Register: Listed,House
-83.06347949,42.30779685,683,394 Askin Ave,Heritage Register: Listed,House
-83.00886768,42.32075211,684,858 Argyle Rd,Heritage Register: Listed,G.T. Bartlet House
-83.00956325,42.32183890,685,796 Argyle Rd,Heritage Register: Listed,House
-83.00968696,42.32203804,686,762 Argyle Rd,Heritage Register: Listed,T. Lacombe House
-83.00975026,42.32213115,687,748 Argyle Rd,Heritage Register: Listed,Semi-Detached House
-83.00979168,42.32219303,688,746 Argyle Rd,Heritage Register: Listed,Semi-Detached House
-83.00983702,42.32225931,689,728 Argyle Rd,Heritage Register: Listed,Semi-Detached House
-83.00987273,42.32231723,690,722 Argyle Rd,Heritage Register: Listed,Semi-Detached House
-83.00990668,42.32238192,691,710 Argyle Rd,Heritage Register: Listed,Semi-Detached House
-83.00994639,42.32244671,692,708 Argyle Rd,Heritage Register: Listed,Semi-Detached House
-83.01016236,42.32277609,693,686 Argyle Rd,Heritage Register: Listed,Tuscarora Apartments
-83.01027034,42.32295094,694,662 Argyle Rd,Heritage Register: Listed,Hiram Walker Cottage
-83.01031722,42.32303453,695,654 Argyle Rd,Heritage Register: Listed,Hiram Walker Cottage
-83.01037238,42.32311470,696,646 Argyle Rd,Heritage Register: Listed,Hiram Walker Cottage
-83.01097887,42.32304585,697,625-45 Argyle Rd,Heritage Register: Listed,Renfrew Apartments
-83.03332599,42.30437132,698,225 Giles Blvd W,Heritage Register: Designated,William T. Wesgate House
-83.04271546,42.31720078,699,309-27 Chatham St W / 221-41 Dougall Ave,Heritage Register: Designated,LaBelle Terrace
-83.02574808,42.29389777,700,2228 Victoria Ave,Heritage Register: Designated,Dr. Neil MacDonald House
-83.03470436,42.30661299,701,1089 Victoria Ave,Heritage Register: Designated,Harry E. Guppy House
-83.00886070,42.31926203,702,2014 Willistead Cres,Heritage Register: Designated,Dr. Henry Crassweller House
-83.00807334,42.31790281,703,2088 Willistead Cres,Heritage Register: Designated,Dr. Charles W. Hoare Residence
-83.02706462,42.29642754,704,166 Tecumseh Rd W,Heritage Register: Designated,St. Clare Church & Rectory/St. Peter's Maronite
-82.97669762,42.32462439,705,908 Dawson Rd,Heritage Register: Designated,Robinson-Beaudet House
-82.97419339,42.33062957,706,5325 Riverside Dr E,Heritage Register: Designated,Janisse-Schade House
-82.97756444,42.32435087,707,904 Lawrence Rd,Heritage Register: Designated,Addyman-Ould House
-83.03599670,42.30981753,708,916-18 Victoria Ave,Heritage Register: Designated,Wm. Donald McGregor House
-83.07675170,42.30202175,709,245 Mill St,Heritage Register: Designated,Perry-Breault House
-82.98445464,42.32709946,710,4371 Riverside Dr E,Heritage Register: Designated,Patrice Parent House
-83.07482725,42.29961622,711,3281 Peter St,Heritage Register: Designated,Gauthier House
-83.07285923,42.30457707,712,3069 Alexander Ave,Heritage Register: Designated,Masson-Deck House
-83.07487425,42.30152873,713,351 Mill St,Heritage Register: Designated,Arthur & Marie Langlois House
-83.05717544,42.31403098,714,204 Curry Ave,Heritage Register: Designated,Robert Gordon House
-83.01231420,42.32436948,715,420 Devonshire Rd,Heritage Register: Designated,Walkerville Post Office
-83.06754657,42.30988706,716,224 Sunset Ave,Heritage Register: Designated,Jasperson-Appel House
-83.01306589,42.32517801,717,350 Devonshire Rd,Heritage Register: Designated,Walkerville Town Hall
-83.00819032,42.32300217,718,721 Walker Rd,Heritage Register: Designated,Semi-Detached House
-83.08043902,42.29190656,719,3652 Peter St,Heritage Register: Designated,Sandwich First Baptist Church
-83.04128694,42.31308251,720,567 Church St,Heritage Register: Designated,Revell-D'Avignon House
-83.03766984,42.31240436,721,694 Victoria Ave,Heritage Register: Designated,Abner Nash House
-83.01166549,42.32303506,722,606 Devonshire Rd / Wyandotte St E,Heritage Register: Designated,Royal Bank of Canada
-83.00864114,42.31875294,723,2011 Willistead Cres,Heritage Register: Designated,G. Tate Easton House
-83.01141949,42.32265614,724,650 Devonshire Rd,Heritage Register: Designated,Semi-Detached House
