Ward,Poll,Poll Name,Contest Title,Candidate Name,Total
6,1,6-1 St. Augustine of Canterbury Anglican Church,MAYOR,Tom HENSEL,9
6,2,6-2 Princess Elizabeth Public School,MAYOR,Drew DILKENS,396
6,2,6-2 Princess Elizabeth Public School,MAYOR,Ernie LAMONT,16
6,2,6-2 Princess Elizabeth Public School,MAYOR,Franz (Frank) DYCK,7
6,2,6-2 Princess Elizabeth Public School,MAYOR,Matt MARCHAND,300
6,2,6-2 Princess Elizabeth Public School,MAYOR,Tom HENSEL,7
6,3,6-3 Dr. David Suzuki Public School,MAYOR,Drew DILKENS,343
6,3,6-3 Dr. David Suzuki Public School,MAYOR,Ernie LAMONT,11
6,3,6-3 Dr. David Suzuki Public School,MAYOR,Franz (Frank) DYCK,4
6,3,6-3 Dr. David Suzuki Public School,MAYOR,Matt MARCHAND,278
6,3,6-3 Dr. David Suzuki Public School,MAYOR,Tom HENSEL,5
6,4,6-4 Riverside Baseball Centre,MAYOR,Drew DILKENS,559
6,4,6-4 Riverside Baseball Centre,MAYOR,Ernie LAMONT,7
6,4,6-4 Riverside Baseball Centre,MAYOR,Franz (Frank) DYCK,2
6,4,6-4 Riverside Baseball Centre,MAYOR,Matt MARCHAND,409
6,4,6-4 Riverside Baseball Centre,MAYOR,Tom HENSEL,5
6,5,6-5 Average Joes Banquet Hall,MAYOR,Drew DILKENS,406
6,5,6-5 Average Joes Banquet Hall,MAYOR,Ernie LAMONT,9
6,5,6-5 Average Joes Banquet Hall,MAYOR,Franz (Frank) DYCK,6
6,5,6-5 Average Joes Banquet Hall,MAYOR,Matt MARCHAND,231
6,5,6-5 Average Joes Banquet Hall,MAYOR,Tom HENSEL,4
6,6,6-6 St. John Vianney Catholic School,MAYOR,Drew DILKENS,400
6,6,6-6 St. John Vianney Catholic School,MAYOR,Ernie LAMONT,9
6,6,6-6 St. John Vianney Catholic School,MAYOR,Franz (Frank) DYCK,11
6,6,6-6 St. John Vianney Catholic School,MAYOR,Matt MARCHAND,267
6,6,6-6 St. John Vianney Catholic School,MAYOR,Tom HENSEL,11
6,7,6-7 Windsor Yacht Club,MAYOR,Drew DILKENS,399
6,7,6-7 Windsor Yacht Club,MAYOR,Ernie LAMONT,9
6,7,6-7 Windsor Yacht Club,MAYOR,Franz (Frank) DYCK,4
6,7,6-7 Windsor Yacht Club,MAYOR,Matt MARCHAND,174
6,7,6-7 Windsor Yacht Club,MAYOR,Tom HENSEL,10
6,8,6-8 Riverside Secondary School,MAYOR,Drew DILKENS,531
6,8,6-8 Riverside Secondary School,MAYOR,Ernie LAMONT,11
6,8,6-8 Riverside Secondary School,MAYOR,Franz (Frank) DYCK,6
6,8,6-8 Riverside Secondary School,MAYOR,Matt MARCHAND,317
